customer_id,first_name,last_name,email,phone,created_at
1,Surya,Nainggolan,suryanainggolan@hotmail.com,(0904) 694-4591,2024-02-09 13:59:44.733151
2,Estiawan,Saragih,estiawansaragih@hotmail.com,+62-62-782-9299,2024-02-09 13:59:44.733151
3,Mahesa,Wastuti,mahesawastuti@yahoo.com,+62 (46) 932-1963,2024-02-09 13:59:44.733151
4,Drajat,Nainggolan,drajatnainggolan@yahoo.com,+62-042-726-1498,2024-02-09 13:59:44.733151
5,Simon,Wacana,simonwacana@hotmail.com,(0007) 948 5515,2024-02-09 13:59:44.733151
6,Yoga,Suartini,yogasuartini@yahoo.com,(0351) 483-3513,2024-02-09 13:59:44.733151
7,Johan,Dongoran,johandongoran@gmail.com,+62 (833) 471 0274,2024-02-09 13:59:44.733151
8,Wahyu,Haryanto,wahyuharyanto@hotmail.com,+62-0740-822-5344,2024-02-09 13:59:44.733151
9,Catur,Maryadi,caturmaryadi@yahoo.com,+62 (618) 214 3988,2024-02-09 13:59:44.733151
10,Ade,Mustofa,ademustofa@hotmail.com,(086) 792 7812,2024-02-09 13:59:44.733151
11,Najwa,Simbolon,najwasimbolon@yahoo.com,(0276) 921-7073,2024-02-09 13:59:44.733151
12,Rika,Habibi,rikahabibi@gmail.com,085 596 1041,2024-02-09 13:59:44.733151
13,Oni,Mandala,onimandala@gmail.com,+62-492-871-5943,2024-02-09 13:59:44.733151
14,Daru,Latupono,darulatupono@hotmail.com,+62 (534) 599-5145,2024-02-09 13:59:44.733151
15,Jatmiko,Prabowo,jatmikoprabowo@gmail.com,085 907 0376,2024-02-09 13:59:44.733151
16,Prabawa,Astuti,prabawaastuti@hotmail.com,(0051) 644-0648,2024-02-09 13:59:44.733151
17,Martani,Rahayu,martanirahayu@hotmail.com,+62-46-380-9607,2024-02-09 13:59:44.733151
18,Adinata,Prasetya,adinataprasetya@hotmail.com,+62 (0282) 120 7524,2024-02-09 13:59:44.733151
19,Eka,Wijaya,ekawijaya@gmail.com,(0485) 962-4913,2024-02-09 13:59:44.733151
20,Yance,Zulkarnain,yancezulkarnain@gmail.com,(000) 360 5464,2024-02-09 13:59:44.733151
21,Kariman,Maryadi,karimanmaryadi@hotmail.com,+62 (91) 102-2086,2024-02-09 13:59:44.733151
22,Dwi,Thamrin,dwithamrin@hotmail.com,088 251 1977,2024-02-09 13:59:44.733151
23,Agus,Hutapea,agushutapea@gmail.com,+62 (03) 187-3509,2024-02-09 13:59:44.733151
24,Rahman,Zulkarnain,rahmanzulkarnain@yahoo.com,0871229428,2024-02-09 13:59:44.733151
25,Setya,Rajasa,setyarajasa@yahoo.com,+62 (037) 621-7629,2024-02-09 13:59:44.733151
26,Patricia,Sitorus,patriciasitorus@hotmail.com,(0705) 900 1292,2024-02-09 13:59:44.733151
27,Candrakanta,Purwanti,candrakantapurwanti@gmail.com,+62 (38) 384 1032,2024-02-09 13:59:44.733151
28,Balapati,Wijayanti,balapatiwijayanti@hotmail.com,+62-79-020-6682,2024-02-09 13:59:44.733151
