reservation_id,full_name,email,domain_email,reservation_date,payment_date,start_date,end_date,total_price,currency,provider,payment_status
1,Wirda Mardhiyah,wirdamardhiyah@hotmail.com,hotmail.com,2020-10-03 14:38:18.907,2020-10-20 17:07:04.406780,2020-10-28 18:10:37.175,2020-11-07 06:56:19.627,7000000.0,IDR,Ovo,Success
2,Indah Zulaika,indahzulaika@gmail.com,gmail.com,2015-02-17 20:44:11.696,2015-02-28 16:44:56.703511,2015-03-08 05:27:33.443,2015-03-13 01:01:28.449,15000000.0,IDR,BCA,Success
3,Martani Hastuti,martanihastuti@gmail.com,gmail.com,2022-03-19 12:18:48.993,2022-04-03 13:27:30.811447,2022-04-06 14:20:57.846,2022-04-10 08:06:20.564,3000000.0,IDR,Permata,Success
4,Karen Haryanto,karenharyanto@yahoo.com,yahoo.com,2019-10-01 12:33:58.891,2019-10-04 08:39:56.034805,2019-10-08 02:01:21.209,2019-10-19 06:25:22.948,15000000.0,IDR,BNI,Success
5,Bakiono Pratiwi,bakionopratiwi@gmail.com,gmail.com,2020-05-28 23:25:59.539,Tidak Ada Data,2020-06-14 12:02:55.669,2020-06-22 20:59:13.732,5000000.0,IDR,BSI,Failed
6,Carub Wastuti,carubwastuti@yahoo.com,yahoo.com,2020-02-24 20:47:00.064,Tidak Ada Data,2020-03-25 03:35:27.294,2020-03-26 10:00:59.137,5000000.0,IDR,Ovo,Waiting
7,Olivia Prakasa,oliviaprakasa@yahoo.com,yahoo.com,2017-09-16 01:39:46.546,Tidak Ada Data,2017-10-12 03:15:31.976,2017-10-19 10:10:16.118,15000000.0,IDR,BSI,Waiting
8,Wisnu Nababan,wisnunababan@yahoo.com,yahoo.com,2019-07-01 04:56:07.266,2019-07-06 00:27:04.653808,2019-07-16 05:38:12.603,2019-07-30 05:18:03.066,9000000.0,IDR,Permata,Success
9,Heru Mulyani,herumulyani@hotmail.com,hotmail.com,2020-10-22 06:45:35.535,2020-10-22 21:58:00.410610,2020-11-07 21:05:56.055,2020-11-21 12:45:45.823,15000000.0,IDR,Mandiri,Success
10,Carub Hidayanto,carubhidayanto@gmail.com,gmail.com,2021-02-21 22:12:47.984,Tidak Ada Data,2021-03-23 15:28:53.857,2021-03-25 06:56:26.961,5000000.0,IDR,BCA,Failed
11,Pangeran Hutapea,pangeranhutapea@gmail.com,gmail.com,2015-12-11 06:33:37.240,2015-12-30 19:38:38.538543,2016-01-04 23:05:09.802,2016-01-09 13:51:19.994,5000000.0,IDR,BCA,Success
12,Leo Tamba,leotamba@yahoo.com,yahoo.com,2016-03-31 19:54:09.788,2016-04-20 11:00:30.806322,2016-04-29 02:21:20.891,2016-05-11 11:08:41.262,11000000.0,IDR,Mandiri,Success
13,Hesti Ardianto,hestiardianto@yahoo.com,yahoo.com,2021-02-21 15:07:59.728,Tidak Ada Data,2021-03-09 03:35:10.487,2021-03-10 10:38:13.905,15000000.0,IDR,BSI,Failed
14,Timbul Kusmawati,timbulkusmawati@yahoo.com,yahoo.com,2015-08-07 02:59:32.513,2015-08-30 02:50:08.222347,2015-09-06 15:20:00.703,2015-09-17 00:25:46.386,15000000.0,IDR,BNI,Success
15,Aurora Suryono,aurorasuryono@gmail.com,gmail.com,2015-08-22 00:22:53.157,2015-08-25 14:16:14.426967,2015-09-11 10:50:49.605,2015-09-14 17:13:08.070,13000000.0,IDR,Ovo,Success
53,Najam Sitompul,najamsitompul@gmail.com,gmail.com,2023-04-21 21:01:27.179,Tidak Ada Data,2023-05-11 18:08:14.305,2023-05-18 05:19:46.608,15000000.0,IDR,BRI,Waiting
16,Balangga Yuliarti,balanggayuliarti@yahoo.com,yahoo.com,2015-06-17 16:10:29.598,2015-06-20 02:46:39.973862,2015-07-14 03:01:07.619,2015-07-21 05:28:01.759,3000000.0,IDR,BSI,Success
